보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21
,,,비중증 비급여 실손의료비(상해),"상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(비급여 자기공명영상진단 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100일 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,실손의료보험 비교공시.xls,,,,비중증 비급여 실손의료비(상해),"상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(비급여 자기공명영상진단 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100일 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,,,,,,,
,,,비중증 비급여 실손의료비(질병),"질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(비급여 자기공명영상진단 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100일 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,실손의료보험 비교공시.xls,,,,비중증 비급여 실손의료비(질병),"질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(비급여 자기공명영상진단 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100일 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,,,,,,,
,,,중증 비급여 실손의료비(3대),상해 또는 질병의 치료목적 으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 3대비급여 치료를 받은 경우(매년 계약해당일부터 1년 단위로 근골격계 이학요법치료·체외충격파치료/주사료/자기공명영상진단을 각 보장별 가입금액 한도 내에서 보상),,,,,,,,,,,실손의료보험 비교공시.xls,,,,중증 비급여 실손의료비(3대),상해 또는 질병의 치료목적 으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 3대비급여 치료를 받은 경우(매년 계약해당일부터 1년 단위로 근골격계 이학요법치료·체외충격파치료/주사료/자기공명영상진단을 각 보장별 가입금액 한도 내에서 보상),,,,,,,,,,,,,,,,,
,,,중증 비급여 실손의료비(상해),"상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(3대 비급여 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100회 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,실손의료보험 비교공시.xls,,,,중증 비급여 실손의료비(상해),"상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(3대 비급여 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100회 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,,,,,,,
,,,중증 비급여 실손의료비(질병),"질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(3대 비급여 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100회 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,실손의료보험 비교공시.xls,,,,중증 비급여 실손의료비(질병),"질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(3대 비급여 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100회 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,,,,,,,
삼성화재,무배당 삼성화재 다이렉트 실손의료비보험(2605.1),무배당 삼성화재 다이렉트 실손의료비보험(2605.1),급여 실손의료비(상해),상해로 인하여 의료기관에 입원 또는 통원하여 급여치료를 받거나 급여 처방조제를 받은 경우(매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상,가입금액 한도,"14,168","17,850",99.2,,,,,,,실손의료보험 비교공시.xls,,삼성화재,무배당 삼성화재 다이렉트 실손의료비보험(2605.1),급여 실손의료비(상해),상해로 인하여 의료기관에 입원 또는 통원하여 급여치료를 받거나 급여 처방조제를 받은 경우(매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상,가입금액 한도,"14,168","17,850",99.2,99.2,,,,,,,,,,,,
,,,급여 실손의료비(질병),질병으로 의료기관에 입원 또는 통원하여 급여 치료를 받거나 급여 처방조제를 받은 경우(매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상,,,,,,,,,,,실손의료보험 비교공시.xls,,,,급여 실손의료비(질병),질병으로 의료기관에 입원 또는 통원하여 급여 치료를 받거나 급여 처방조제를 받은 경우(매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상,,,,,,,,,,,,,,,,,
,,,비중증 비급여 실손의료비(비급여 자기공명영상진단),상해 또는 질병의 치료목적 으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 위해 자기공명영상진단을 받은 경우(매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상),,,,,,,,,,,실손의료보험 비교공시.xls,,,,비중증 비급여 실손의료비(비급여 자기공명영상진단),상해 또는 질병의 치료목적 으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 위해 자기공명영상진단을 받은 경우(매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상),,,,,,,,,,,,,,,,,
,,,비중증 비급여 실손의료비(상해),"상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(비급여 자기공명영상진단 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100일 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,실손의료보험 비교공시.xls,,,,비중증 비급여 실손의료비(상해),"상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(비급여 자기공명영상진단 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100일 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,,,,,,,
,,,비중증 비급여 실손의료비(질병),"질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(비급여 자기공명영상진단 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100일 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,실손의료보험 비교공시.xls,,,,비중증 비급여 실손의료비(질병),"질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환이 아닌 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(비급여 자기공명영상진단 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100일 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,,,,,,,
,,,중증 비급여 실손의료비(3대),상해 또는 질병의 치료목적 으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 3대비급여 치료를 받은 경우(매년 계약해당일부터 1년 단위로 근골격계 이학요법치료·체외충격파치료/주사료/자기공명영상진단을 각 보장별 가입금액 한도 내에서 보상),,,,,,,,,,,실손의료보험 비교공시.xls,,,,중증 비급여 실손의료비(3대),상해 또는 질병의 치료목적 으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 3대비급여 치료를 받은 경우(매년 계약해당일부터 1년 단위로 근골격계 이학요법치료·체외충격파치료/주사료/자기공명영상진단을 각 보장별 가입금액 한도 내에서 보상),,,,,,,,,,,,,,,,,
,,,중증 비급여 실손의료비(상해),"상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(3대 비급여 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100회 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,실손의료보험 비교공시.xls,,,,중증 비급여 실손의료비(상해),"상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(3대 비급여 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100회 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,,,,,,,
,,,중증 비급여 실손의료비(질병),"질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(3대 비급여 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100회 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,실손의료보험 비교공시.xls,,,,중증 비급여 실손의료비(질병),"질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받거나 비급여 처방조제를 받은 경우(3대 비급여 제외, 매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상. 단, 통원은 매년 계약해당일부터 1년간 100회 한도)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상",,,,,,,,,,,,,,,,,
현대해상,(무)현대해상실손의료비보장보험(갱신형)(Hi2605),(무)현대해상실손의료비보장보험(갱신형)(Hi2605),비중증비급여자기공명영상진단,상해 또는 질병의 치료목적으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환 외  비급여 의료행위로 치료를 받은 경우,"자기공명영상진단을 받아 본인이 실제로 부담한 비급여의료비(조영제, 판독료 포함)에서 약관에서 정한 공제금액(1회당 5만원과 보장대상 의료비의 50% 중 큰 금액)을 차감한 금액(계약일 또는 매년 계약해당일부터 1년 단위로 각 상해·질병 치료행위를 합산하여 200만원 이내에서 보상)","13,286","14,193",110.6,,,,,,,실손의료보험 비교공시.xls,,현대해상,(무)현대해상실손의료비보장보험(갱신형)(Hi2605),비중증비급여자기공명영상진단,상해 또는 질병의 치료목적으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환 외  비급여 의료행위로 치료를 받은 경우,"자기공명영상진단을 받아 본인이 실제로 부담한 비급여의료비(조영제, 판독료 포함)에서 약관에서 정한 공제금액(1회당 5만원과 보장대상 의료비의 50% 중 큰 금액)을 차감한 금액(계약일 또는 매년 계약해당일부터 1년 단위로 각 상해·질병 치료행위를 합산하여 200만원 이내에서 보상)","13,286","14,193",110.6,110.6,,,,,,,,,,,,
,,,상해급여실손의료비,"상해로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 치료를 받은 경우(자동차보험, 산재보험 처리분 제외)","①입원(입원실료, 입원제비용 입원수술비) 「국민건강보험법」에서 정한 요양급여 또는 「의료급여법」에서 정한 의료급여 중 본인부담금(본인이 실제로 부담한 금액을 말합니다)의 80%에 해당하는 금액②통원(외래제비용, 외래수술비, 처방조제비) 통원 1회당(외래 및 처방조제 합산) ‘「국민건강보험법」에서 정한 요양급여 또는 「의료급여법」에서 정한 의료급여 중 본인부담금’에서 약관에서 정한 공제금액(병·의원 1만원, 종합·상급병원 2만원, 보장대상의료비의 20%, 보장대상의료비에 건강보험 본인부담률을 곱한 금액 중 큰 금액)을 뺀 금액",,,,,,,,,,실손의료보험 비교공시.xls,,,,상해급여실손의료비,"상해로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 치료를 받은 경우(자동차보험, 산재보험 처리분 제외)","①입원(입원실료, 입원제비용 입원수술비) 「국민건강보험법」에서 정한 요양급여 또는 「의료급여법」에서 정한 의료급여 중 본인부담금(본인이 실제로 부담한 금액을 말합니다)의 80%에 해당하는 금액②통원(외래제비용, 외래수술비, 처방조제비) 통원 1회당(외래 및 처방조제 합산) ‘「국민건강보험법」에서 정한 요양급여 또는 「의료급여법」에서 정한 의료급여 중 본인부담금’에서 약관에서 정한 공제금액(병·의원 1만원, 종합·상급병원 2만원, 보장대상의료비의 20%, 보장대상의료비에 건강보험 본인부담률을 곱한 금액 중 큰 금액)을 뺀 금액",,,,,,,,,,,,,,,,
,,,상해비중증비급여실손의료비,"상해로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 산정특례 대상 질환 외 치료를 받은 경우(비급여 자기공명영상진단은 제외)자동차보험, 산재보험 처리분 제외)","①입원(입원실료,입원제비용 입원수술비) ‘비급여 의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)의 50%에 해당하는 금액(다만, 「의료법」 제3조제2항에 의한 의료기관(동법 제3조의3에 의한 종합병원은 제외)에서 발생한 비급여 의료비는 1회당 300만원을 한도로 합니다.)②상급병실료 차액 비급여 병실료의 50%(다만, 1일 평균금액 10만원 한도)※1일 평균금액 : 입원기간 동안 비급여 병실료 전체를 총 입원일수로 나누어 산출한 금액③통원(외래제비용, 외래수술비, 처방조제비) 통원 1일당(외래 및 처방조제 합산)‘비급여의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)에서 약관에서 정한 공제금액(5만원과 보장대상 의료비의 50% 중 큰 금액)을 뺀 금액(매년 계약 해당일부터 1년간 통원 100일 한도)",,,,,,,,,,실손의료보험 비교공시.xls,,,,상해비중증비급여실손의료비,"상해로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 산정특례 대상 질환 외 치료를 받은 경우(비급여 자기공명영상진단은 제외)자동차보험, 산재보험 처리분 제외)","①입원(입원실료,입원제비용 입원수술비) ‘비급여 의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)의 50%에 해당하는 금액(다만, 「의료법」 제3조제2항에 의한 의료기관(동법 제3조의3에 의한 종합병원은 제외)에서 발생한 비급여 의료비는 1회당 300만원을 한도로 합니다.)②상급병실료 차액 비급여 병실료의 50%(다만, 1일 평균금액 10만원 한도)※1일 평균금액 : 입원기간 동안 비급여 병실료 전체를 총 입원일수로 나누어 산출한 금액③통원(외래제비용, 외래수술비, 처방조제비) 통원 1일당(외래 및 처방조제 합산)‘비급여의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)에서 약관에서 정한 공제금액(5만원과 보장대상 의료비의 50% 중 큰 금액)을 뺀 금액(매년 계약 해당일부터 1년간 통원 100일 한도)",,,,,,,,,,,,,,,,
,,,상해중증비급여실손의료비,"상해로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 산정특례 대상 질환에 대한 치료를 받은 경우(3대비급여 제외)(자동차보험, 산재보험 처리분 제외)","①입원(입원실료,입원제비용 입원수술비) ‘비급여 의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)의 70%에 해당하는 금액②상급병실료 차액 비급여 병실료의 50%(단, 1일 평균금액 10만원 한도)※1일 평균금액 : 입원기간 동안 비급여 병실료 전체를 총 입원일수로 나누어 산출한 금액③통원(외래제비용, 외래수술비, 처방조제비) 통원 1회당(외래 및 처방조제 합산)‘비급여 의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)에서 약관에서 정한 공제금액(3만원과 보장대상의료비의 30% 중 큰 금액)을 뺀 금액 (매년 계약해당일부터 1년간 통원 100회 한도)",,,,,,,,,,실손의료보험 비교공시.xls,,,,상해중증비급여실손의료비,"상해로 인하여 의료기관에 입원 또는 통원(외래 및 처방조제)하여 산정특례 대상 질환에 대한 치료를 받은 경우(3대비급여 제외)(자동차보험, 산재보험 처리분 제외)","①입원(입원실료,입원제비용 입원수술비) ‘비급여 의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)의 70%에 해당하는 금액②상급병실료 차액 비급여 병실료의 50%(단, 1일 평균금액 10만원 한도)※1일 평균금액 : 입원기간 동안 비급여 병실료 전체를 총 입원일수로 나누어 산출한 금액③통원(외래제비용, 외래수술비, 처방조제비) 통원 1회당(외래 및 처방조제 합산)‘비급여 의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)에서 약관에서 정한 공제금액(3만원과 보장대상의료비의 30% 중 큰 금액)을 뺀 금액 (매년 계약해당일부터 1년간 통원 100회 한도)",,,,,,,,,,,,,,,,
,,,중증3대비급여실손의료비,상해 또는 질병의 치료목적으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환에 대한 비급여 의료행위로 치료를 받은 경우,"①근골격계 이학요법치료·체외충격파치료 “근골격계이학요법치료·체외충격파치료”로 인하여 본인이 실제로 부담한 비급여의료비(행위료, 약제비, 치료재료대 포함)에서 약관에서 정한 공제금액(1회당 3만원과 보장대상 의료비의 30% 중 큰 금액)을 차감한 금액(계약일 또는 매년 계약해당일부터 1년 단위로 각 상해·질병 치료행위를 합산하여 350만원 이내에서 50회까지 보상)②주사료 주사치료를 받아 본인이 실제로 부담한 비급여의료비에서 약관에서 정한 공제금액(1회당 3만원과 보장대상 의료비의 30% 중 큰 금액)을 차감한 금액계약일 또는 매년 계약해당일부터 1년 단위로 각 상해·질병 치료행위를 합산하여 250만원 이내에서 50회까지 보상③자기공명영상진단 자기공명영상진단을 받아 본인이 실제로 부담한 비급여의료비(조영제, 판독료 포함)에서 약관에서 정한 공제금액(1회당 3만원과 보장대상 의료비의 30% 중 큰 금액)을 차감한 금액계약일 또는 매년 계약해당일부터 1년 단위로 각 상해·질병 치료행위를 합산하여 300만원 이내에서 보상",,,,,,,,,,실손의료보험 비교공시.xls,,,,중증3대비급여실손의료비,상해 또는 질병의 치료목적으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환에 대한 비급여 의료행위로 치료를 받은 경우,"①근골격계 이학요법치료·체외충격파치료 “근골격계이학요법치료·체외충격파치료”로 인하여 본인이 실제로 부담한 비급여의료비(행위료, 약제비, 치료재료대 포함)에서 약관에서 정한 공제금액(1회당 3만원과 보장대상 의료비의 30% 중 큰 금액)을 차감한 금액(계약일 또는 매년 계약해당일부터 1년 단위로 각 상해·질병 치료행위를 합산하여 350만원 이내에서 50회까지 보상)②주사료 주사치료를 받아 본인이 실제로 부담한 비급여의료비에서 약관에서 정한 공제금액(1회당 3만원과 보장대상 의료비의 30% 중 큰 금액)을 차감한 금액계약일 또는 매년 계약해당일부터 1년 단위로 각 상해·질병 치료행위를 합산하여 250만원 이내에서 50회까지 보상③자기공명영상진단 자기공명영상진단을 받아 본인이 실제로 부담한 비급여의료비(조영제, 판독료 포함)에서 약관에서 정한 공제금액(1회당 3만원과 보장대상 의료비의 30% 중 큰 금액)을 차감한 금액계약일 또는 매년 계약해당일부터 1년 단위로 각 상해·질병 치료행위를 합산하여 300만원 이내에서 보상",,,,,,,,,,,,,,,,
,,,질병급여실손의료비,질병으로 의료기관에 입원 또는 통원(외래 및 처방조제)하여 치료를 받은 경우(산재보험 처리분 제외),"①입원(입원실료, 입원제비용 입원수술비) 「국민건강보험법」에서 정한 요양급여 또는 「의료급여법」에서 정한 의료급여 중 본인부담금(본인이 실제로 부담한 금액을 말합니다)의 80%에 해당하는 금액②통원(외래제비용, 외래수술비, 처방조제비) 통원 1회당(외래 및 처방조제 합산) ‘「국민건강보험법」에서 정한 요양급여 또는 「의료급여법」에서 정한 의료급여 중 본인부담금’에서 약관에서 정한 공제금액(병·의원 1만원, 종합·상급병원 2만원, 보장대상의료비의 20%, 보장대상의료비에 건강보험 본인부담률을 곱한 금액 중 큰 금액)을 뺀 금액",,,,,,,,,,실손의료보험 비교공시.xls,,,,질병급여실손의료비,질병으로 의료기관에 입원 또는 통원(외래 및 처방조제)하여 치료를 받은 경우(산재보험 처리분 제외),"①입원(입원실료, 입원제비용 입원수술비) 「국민건강보험법」에서 정한 요양급여 또는 「의료급여법」에서 정한 의료급여 중 본인부담금(본인이 실제로 부담한 금액을 말합니다)의 80%에 해당하는 금액②통원(외래제비용, 외래수술비, 처방조제비) 통원 1회당(외래 및 처방조제 합산) ‘「국민건강보험법」에서 정한 요양급여 또는 「의료급여법」에서 정한 의료급여 중 본인부담금’에서 약관에서 정한 공제금액(병·의원 1만원, 종합·상급병원 2만원, 보장대상의료비의 20%, 보장대상의료비에 건강보험 본인부담률을 곱한 금액 중 큰 금액)을 뺀 금액",,,,,,,,,,,,,,,,
,,,질병비중증비급여실손의료비,질병으로 의료기관에 입원 또는 통원(외래 및 처방조제)하여 산정특례 대상 질환 외 치료를 받은 경우(비급여 자기공명영상진단은 제외)(산재보험 처리분 제외),"①입원(입원실료,입원제비용 입원수술비) ‘비급여 의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)의 50%에 해당하는 금액(다만, 「의료법」 제3조제2항에 의한 의료기관(동법 제3조의3에 의한 종합병원은 제외)에서 발생한 비급여 의료비는 1회당 300만원을 한도로 합니다.)②상급병실료 차액 비급여 병실료의 50%(다만, 1일 평균금액 10만원 한도)※1일 평균금액 : 입원기간 동안 비급여 병실료 전체를 총 입원일수로 나누어 산출한 금액③통원(외래제비용, 외래수술비, 처방조제비) 통원 1일당(외래 및 처방조제 합산)‘비급여의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)에서 약관에서 정한 공제금액(5만원과 보장대상의료비의 50% 중 큰 금액)을 뺀 금액(매년 계약 해당일부터 1년간 통원 100일 한도)",,,,,,,,,,실손의료보험 비교공시.xls,,,,질병비중증비급여실손의료비,질병으로 의료기관에 입원 또는 통원(외래 및 처방조제)하여 산정특례 대상 질환 외 치료를 받은 경우(비급여 자기공명영상진단은 제외)(산재보험 처리분 제외),"①입원(입원실료,입원제비용 입원수술비) ‘비급여 의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)의 50%에 해당하는 금액(다만, 「의료법」 제3조제2항에 의한 의료기관(동법 제3조의3에 의한 종합병원은 제외)에서 발생한 비급여 의료비는 1회당 300만원을 한도로 합니다.)②상급병실료 차액 비급여 병실료의 50%(다만, 1일 평균금액 10만원 한도)※1일 평균금액 : 입원기간 동안 비급여 병실료 전체를 총 입원일수로 나누어 산출한 금액③통원(외래제비용, 외래수술비, 처방조제비) 통원 1일당(외래 및 처방조제 합산)‘비급여의료비(비급여 병실료는 제외합니다)’(본인이 실제로 부담한 금액을 말합니다)에서 약관에서 정한 공제금액(5만원과 보장대상의료비의 50% 중 큰 금액)을 뺀 금액(매년 계약 해당일부터 1년간 통원 100일 한도)",,,,,,,,,,,,,,,,
